sample_id,herb_name,timestamp,quality_level,temperature_c,humidity_percent,ph_value,tds_ppm,uv_intensity,moisture_percent,color_r,color_g,color_b,SS_voltage,Cu_voltage,Zn_voltage,Ag_voltage,Pt_voltage
RAW-00001,Kalonji Seeds,2025-09-01T15:20:38,high,31.63,54.3,4.86,946.7,1.97,24.7,180,100,184,1.924,1.661,2.283,2.581,2.358
RAW-00002,Shatavari Root,2025-07-09T09:03:24,high,31.57,76.0,8.26,1347.5,3.03,23.8,249,239,89,1.067,0.75,1.324,1.678,1.385
RAW-00003,Elaichi Seeds,2025-09-17T09:46:52,high,27.12,81.6,7.9,701.7,0.57,15.6,111,86,148,1.368,1.024,1.645,1.926,1.818
RAW-00004,Ashwagandha Root,2025-08-25T10:00:34,high,23.75,75.2,5.42,161.6,1.52,12.4,115,219,94,2.142,1.845,2.498,2.823,2.62
RAW-00005,Mulethi Root,2025-09-25T13:27:27,low,21.77,54.8,5.17,367.2,2.83,16.1,111,235,101,0.477,0.19,0.608,0.846,0.704
RAW-00006,Turmeric Powder,2025-07-09T09:02:48,high,29.24,63.8,8.43,628.3,4.1,22.0,250,173,236,1.493,1.241,1.856,2.238,1.842
RAW-00007,Jeera Seeds,2025-09-01T10:19:59,high,19.3,80.9,8.1,968.0,1.76,15.2,97,180,197,1.375,1.171,1.729,2.012,1.848
RAW-00008,Ginger Root,2025-09-28T08:23:51,high,21.32,58.0,7.49,992.0,4.26,19.9,82,225,253,1.496,1.126,1.805,2.097,1.906
RAW-00009,Arjuna Bark,2025-08-25T14:21:45,low,28.47,83.1,5.82,851.5,2.9,24.7,165,240,209,1.621,1.377,1.893,2.166,1.959
RAW-00010,Giloy Stems,2025-08-06T09:24:41,high,29.33,77.4,7.97,1374.2,2.61,17.5,222,69,114,1.687,1.316,1.96,2.411,2.192
RAW-00011,Tulsi Leaves,2025-09-18T10:22:14,high,26.72,48.4,4.71,820.5,2.75,19.6,101,193,62,1.104,0.753,1.442,1.939,1.731
RAW-00012,Kalonji Seeds,2025-09-14T10:16:55,medium,26.56,61.8,5.49,566.2,3.81,10.2,118,96,143,1.827,1.549,2.249,2.506,2.343
RAW-00013,Mulethi Root,2025-09-24T12:11:15,low,26.99,46.1,6.84,1413.3,2.92,15.8,173,82,210,0.536,0.26,0.757,1.005,0.776
RAW-00014,Triphala Powder,2025-07-13T12:11:02,medium,24.94,72.7,5.89,1408.1,0.29,16.3,213,187,150,1.905,1.52,2.06,2.549,2.228
RAW-00015,Turmeric Powder,2025-08-03T10:48:34,high,18.15,81.2,4.87,513.0,4.76,24.3,132,160,193,1.559,1.296,2.028,2.249,2.038
RAW-00016,Jeera Seeds,2025-09-07T16:51:58,high,30.14,78.5,6.2,372.7,2.04,23.4,243,54,78,1.537,1.203,1.814,2.123,1.988
RAW-00017,Shankhpushpi,2025-08-22T15:47:44,high,27.09,74.8,6.83,1445.2,1.94,14.3,105,210,215,1.331,0.942,1.44,1.89,1.572
RAW-00018,Honey,2025-07-28T12:15:53,medium,19.49,58.4,5.18,987.9,2.0,13.4,77,150,90,0.369,0.192,0.191,0.53,0.464
RAW-00019,Kalonji Seeds,2025-06-27T13:16:08,high,26.32,60.2,8.38,1271.1,4.21,17.0,148,178,198,2.0,1.653,2.203,2.601,2.414
