synthetic_id,herb_name,quality_level,collection_date,timestamp,authenticity_score,SS_voltage,Cu_voltage,Zn_voltage,Ag_voltage,Pt_voltage,temperature_c,humidity_percent,ph_value,tds_ppm,uv_intensity,moisture_percent,color_r,color_g,color_b,color_intensity,electrode_sum,electrode_ratio,conductivity,taste_sweet,taste_bitter,taste_pungent,taste_sour,taste_salty,taste_astringent,phyto_alkaloids,phyto_flavonoids,phyto_saponins,phyto_tannins,phyto_glycosides,generation_method,quality_factor,processing_timestamp
SYN-0001,Honey_Wild,high,2025-05-25,2025-05-25T00:00:00,98.0,0.365,0.27,0.364,0.562,0.669,22.6,52.5,6.86,383.7,2.54,12.8,186,149,117,150.7,2.23,1.84,2.606,83,14,18,15,12,19,1.1632633970550765,2.4909092716831767,0.6662646965938036,0.7466815981794591,0.5397754227926422,advanced_synthetic,0.98,2025-09-26T05:40:23.367118
SYN-0002,Turmeric_Organic,high,2025-04-25,2025-04-25T00:00:00,98.0,1.806,1.416,2.075,2.336,2.181,24.2,64.4,7.46,1081.5,1.54,20.3,240,167,87,164.7,9.81,1.21,0.925,21,62,86,22,17,39,4.954455914787857,13.407892127490577,8.216173288894698,4.721842869019899,9.724009656027151,advanced_synthetic,1.062,2025-09-26T05:40:23.367216
SYN-0003,Tulsi_Premium,low,2025-08-25,2025-08-25T00:00:00,83.7,0.957,0.521,1.048,1.486,1.34,37.7,68.9,6.99,1317.4,1.34,8.3,88,159,84,110.3,5.35,1.4,0.759,27,17,50,9,3,35,6.682921425883967,7.652295242876965,5.034135072473387,3.6579187242193507,2.5424844753752356,advanced_synthetic,0.698,2025-09-26T05:40:23.367302
SYN-0004,Tulsi_Premium,high,2025-04-30,2025-04-30T00:00:00,98.0,1.397,0.787,1.545,2.075,1.798,24.8,63.9,6.54,726.8,4.85,17.9,99,167,114,126.7,7.6,1.29,1.376,38,28,69,19,13,54,8.632064994454236,8.744194663737268,15.118318981239174,5.240022685234074,4.106097387300581,advanced_synthetic,0.966,2025-09-26T05:40:23.367382
SYN-0005,Honey_Wild,medium,2025-03-10,2025-03-10T00:00:00,90.0,0.311,0.256,0.245,0.463,0.567,27.9,48.5,7.52,1143.9,4.57,18.3,182,174,120,158.7,1.84,1.82,0.874,65,8,11,9,4,12,0.9154053128112052,2.0290060926415614,0.42001291883178765,0.6909190855345493,0.429474270290957,advanced_synthetic,0.804,2025-09-26T05:40:23.367534
SYN-0006,Tulsi_Premium,low,2025-05-08,2025-05-08T00:00:00,75.6,0.972,0.542,1.015,1.41,1.207,25.5,68.2,6.03,149.3,2.57,16.0,72,172,99,114.3,5.15,1.24,6.697,28,22,49,14,10,38,8.676283329583,5.35025892318559,8.403394058145652,3.0637822119290803,2.8983367809573224,advanced_synthetic,0.648,2025-09-26T05:40:23.367685
SYN-0007,Tulsi_Premium,medium,2025-06-17,2025-06-17T00:00:00,98.0,1.093,0.668,1.151,1.632,1.434,35.4,75.7,6.97,647.8,3.43,15.6,98,174,114,128.7,5.98,1.31,1.544,28,21,58,14,9,42,8.33296272177038,7.449171847668334,9.314087877587903,4.229469730023214,3.196289079534217,advanced_synthetic,0.766,2025-09-26T05:40:23.367784
SYN-0008,Turmeric_Organic,high,2025-06-02,2025-06-02T00:00:00,98.0,1.7,1.361,1.929,2.27,2.126,28.9,73.2,7.14,1391.7,0.48,23.2,207,178,82,155.7,9.39,1.25,0.719,24,59,83,25,15,36,3.723969952117036,14.825010868356701,6.286974009541848,4.262320925498386,9.625015913462754,advanced_synthetic,1.01,2025-09-26T05:40:23.367868
SYN-0009,Ashwagandha_Root,high,2025-08-14,2025-08-14T00:00:00,98.0,2.084,1.73,2.268,2.723,2.543,31.1,68.0,5.17,1329.5,3.97,15.8,82,129,104,105.0,11.35,1.22,0.752,29,65,49,20,22,71,13.79399969765416,9.09299518623987,28.24867183328641,13.942683879973885,19.093355423439256,advanced_synthetic,0.951,2025-09-26T05:40:23.367995
SYN-0010,Ashwagandha_Root,high,2025-05-10,2025-05-10T00:00:00,98.0,2.308,1.942,2.558,2.945,2.825,24.6,56.1,4.94,882.5,1.74,16.0,108,84,90,94.0,12.58,1.22,1.133,33,76,51,23,24,80,14.313045356027237,7.102323568681436,23.32021865922037,12.277636750287105,22.887071881739605,advanced_synthetic,1.049,2025-09-26T05:40:23.368086
SYN-0011,Ginger_Fresh,high,2025-06-26,2025-06-26T00:00:00,98.0,1.502,1.128,1.757,2.08,1.97,30.9,89.5,5.28,320.6,1.28,15.9,86,130,77,97.7,8.44,1.31,3.119,39,25,94,44,19,35,1.9505064641990948,5.894592485807871,5.32861856336924,3.0285659082441687,12.551829829488442,advanced_synthetic,1.006,2025-09-26T05:40:23.368171
SYN-0012,Honey_Wild,high,2025-06-05,2025-06-05T00:00:00,98.0,0.442,0.208,0.334,0.624,0.687,32.7,87.6,7.96,922.4,4.07,16.6,217,189,122,176.0,2.29,1.55,1.084,87,8,14,12,5,18,1.0804048405076176,2.7732080431305777,0.6070518320731667,0.7198271793308719,0.5780111580019477,advanced_synthetic,1.05,2025-09-26T05:40:23.368292
SYN-0013,Turmeric_Organic,high,2025-05-29,2025-05-29T00:00:00,98.0,1.587,1.292,1.842,2.182,1.998,25.4,50.5,5.54,857.5,1.08,11.0,245,198,86,176.3,8.9,1.26,1.166,27,59,83,28,19,41,3.473403181980776,12.715493029333704,5.922395803944639,3.6605518239453945,8.468563044370686,advanced_synthetic,0.961,2025-09-26T05:40:23.368379
SYN-0014,Honey_Wild,high,2025-04-19,2025-04-19T00:00:00,98.0,0.453,0.248,0.347,0.566,0.679,24.4,50.3,7.96,405.8,1.31,25.1,199,184,121,168.0,2.29,1.5,2.464,80,10,14,13,6,15,0.9421804805336772,2.5076692093065893,0.6833779985601108,0.9083214967681482,0.5892487677462459,advanced_synthetic,0.98,2025-09-26T05:40:23.368471
SYN-0015,Ashwagandha_Root,high,2025-05-15,2025-05-15T00:00:00,98.0,2.339,1.965,2.621,3.071,2.886,30.6,55.2,7.9,487.0,1.74,24.7,99,154,76,109.7,12.88,1.23,2.053,23,70,43,12,15,74,18.373393467157086,7.946512755904699,30.929694258491683,14.591851559562894,20.521963060717926,advanced_synthetic,1.079,2025-09-26T05:40:23.368555
SYN-0016,Ginger_Fresh,low,2025-05-12,2025-05-12T00:00:00,76.4,0.989,0.783,1.14,1.364,1.322,30.2,67.2,8.19,1336.6,0.87,26.2,132,92,71,98.3,5.6,1.34,0.748,18,7,52,21,6,11,1.4504140394398737,4.72053595481649,3.0172166973371723,2.4095562372045665,8.746295087022535,advanced_synthetic,0.676,2025-09-26T05:40:23.368618
SYN-0017,Ginger_Fresh,high,2025-04-12,2025-04-12T00:00:00,98.0,1.55,1.241,1.842,2.205,2.063,24.0,49.8,7.92,548.7,2.15,20.3,102,144,80,108.7,8.9,1.33,1.823,29,22,91,38,14,25,2.448678297839963,7.91390410902829,4.013708736502688,3.5296359501438523,12.641395485551348,advanced_synthetic,1.057,2025-09-26T05:40:23.368691
SYN-0018,Tulsi_Premium,low,2025-08-11,2025-08-11T00:00:00,80.8,0.921,0.511,1.048,1.393,1.214,37.0,66.1,5.49,1345.0,0.61,26.6,95,172,63,110.0,5.09,1.32,0.744,25,23,51,13,7,35,6.262483007140551,6.922391855650207,9.592209896181226,3.7253403147174917,3.1694332729672503,advanced_synthetic,0.65,2025-09-26T05:40:23.368783
SYN-0019,Turmeric_Organic,high,2025-05-08,2025-05-08T00:00:00,98.0,1.756,1.386,2.036,2.298,2.133,23.7,60.0,8.12,772.8,4.19,27.8,252,197,98,182.3,9.61,1.21,1.294,21,57,84,23,14,33,3.4085403849203626,13.527831568393193,5.408719950891226,4.75397315805362,8.101216691755482,advanced_synthetic,1.031,2025-09-26T05:40:23.368848
SYN-0020,Tulsi_Premium,high,2025-04-02,2025-04-02T00:00:00,98.0,1.436,0.861,1.637,2.217,1.973,29.5,47.3,5.78,1037.2,2.27,26.1,83,124,104,103.7,8.12,1.37,0.964,43,33,76,24,16,58,11.272630164853606,9.515394546997138,11.746782684422133,5.821761634441438,3.754245780739367,advanced_synthetic,1.03,2025-09-26T05:40:23.368992
SYN-0021,Ashwagandha_Root,high,2025-03-04,2025-03-04T00:00:00,98.0,2.34,1.956,2.576,2.978,2.869,23.0,48.0,5.32,1282.1,4.1,13.2,98,108,170,125.3,12.72,1.23,0.78,30,75,53,23,23,79,17.556559668355195,9.104301977094208,25.85780280022654,12.956584535468204,19.554879740936858,advanced_synthetic,1.061,2025-09-26T05:40:23.369067
SYN-0022,Tulsi_Premium,low,2025-08-09,2025-08-09T00:00:00,84.1,1.027,0.529,1.117,1.559,1.318,37.7,89.7,6.28,569.9,2.54,14.4,102,123,82,102.3,5.55,1.28,1.755,29,19,47,15,10,36,5.863607942810949,6.642872266696418,11.256108372077536,4.119950865374916,3.3601517372034158,advanced_synthetic,0.703,2025-09-26T05:40:23.369132
SYN-0023,Tulsi_Premium,low,2025-05-15,2025-05-15T00:00:00,83.9,0.874,0.476,0.994,1.315,1.168,30.9,51.5,5.57,1065.6,2.09,16.9,61,124,115,100.0,4.83,1.34,0.938,27,20,49,16,8,31,7.557795118783701,5.4018142040118216,7.518646637783416,3.8758236244895,2.5090345688974938,advanced_synthetic,0.623,2025-09-26T05:40:23.369208
SYN-0024,Ginger_Fresh,high,2025-07-05,2025-07-05T00:00:00,98.0,1.411,1.098,1.662,1.965,1.862,34.8,76.8,7.88,454.9,4.94,19.5,140,115,141,132.0,8.0,1.32,2.198,27,21,82,33,12,23,1.9720018413230214,8.971464705354348,5.206676832728267,3.8473382899556423,10.819402159559967,advanced_synthetic,0.966,2025-09-26T05:40:23.369279
SYN-0025,Tulsi_Premium,high,2025-07-26,2025-07-26T00:00:00,98.0,1.347,0.801,1.471,1.986,1.827,35.0,84.1,5.5,1194.8,1.27,15.2,51,169,73,97.7,7.43,1.36,0.837,43,29,72,22,16,54,8.783025519685857,8.459921386285414,14.005101913523307,3.7382892202017164,3.6032218754783676,advanced_synthetic,0.952,2025-09-26T05:40:23.369342
SYN-0026,Ashwagandha_Root,high,2025-06-15,2025-06-15T00:00:00,98.0,2.139,1.824,2.435,2.826,2.692,35.2,67.9,4.89,1328.3,3.78,16.6,98,191,85,124.7,11.92,1.26,0.753,31,72,52,23,23,77,14.50373700747857,9.64518086315782,25.46175158257046,11.598343894446355,21.393698420426507,advanced_synthetic,1.0,2025-09-26T05:40:23.369407
SYN-0027,Honey_Wild,high,2025-04-09,2025-04-09T00:00:00,98.0,0.394,0.228,0.357,0.582,0.66,22.2,66.0,7.78,494.1,1.52,14.6,195,175,85,151.7,2.22,1.67,2.024,76,10,12,10,6,15,0.923767527736665,2.0619612878247278,0.6046463788770141,0.6012126939494935,0.5251349929725034,advanced_synthetic,0.944,2025-09-26T05:40:23.369473
SYN-0028,Ashwagandha_Root,high,2025-05-25,2025-05-25T00:00:00,98.0,2.113,1.769,2.329,2.766,2.605,30.4,55.3,5.25,1239.4,3.45,14.3,158,170,65,131.0,11.58,1.23,0.807,31,69,50,18,22,72,14.535844251498911,10.940253984361311,22.06389060308085,13.319996062342959,21.012885696732404,advanced_synthetic,0.973,2025-09-26T05:40:23.369537
SYN-0029,Tulsi_Premium,low,2025-03-07,2025-03-07T00:00:00,86.5,0.994,0.618,1.108,1.528,1.336,27.1,68.1,5.39,796.4,4.19,21.2,59,128,95,94.0,5.58,1.34,1.256,29,23,57,13,10,38,7.3711409647314285,7.481812183491145,9.047869390093531,3.4251227723511675,3.2022230670547223,advanced_synthetic,0.71,2025-09-26T05:40:23.369603
SYN-0030,Tulsi_Premium,medium,2025-03-16,2025-03-16T00:00:00,98.0,1.228,0.747,1.361,1.841,1.602,25.6,58.8,7.12,839.2,1.03,18.0,112,138,105,118.3,6.78,1.3,1.192,33,23,59,16,12,46,11.262204255157528,6.378378707286107,8.782230978850695,3.959956356688348,2.788906034876066,advanced_synthetic,0.857,2025-09-26T05:40:23.369667
SYN-0031,Ashwagandha_Root,high,2025-05-13,2025-05-13T00:00:00,98.0,2.19,1.89,2.402,2.799,2.668,30.3,49.3,7.15,913.2,5.1,22.6,187,159,142,162.7,11.95,1.22,1.095,24,66,43,17,17,67,13.93855474232031,6.57766928120462,24.35419368300728,12.016519332660405,17.3845015265635,advanced_synthetic,0.994,2025-09-26T05:40:23.369727
SYN-0032,Tulsi_Premium,high,2025-07-17,2025-07-17T00:00:00,98.0,1.472,0.836,1.647,2.229,1.933,34.2,68.6,6.82,710.4,4.64,26.8,59,104,114,92.3,8.12,1.31,1.408,40,31,74,19,14,56,10.580702409100843,9.892943356414028,10.559004918562533,5.120411652843966,5.397703199216269,advanced_synthetic,1.036,2025-09-26T05:40:23.369791
SYN-0033,Ashwagandha_Root,high,2025-06-04,2025-06-04T00:00:00,98.0,2.331,1.992,2.574,3.059,2.809,30.6,74.0,7.2,330.4,1.1,17.1,143,155,138,145.3,12.76,1.2,3.027,25,67,47,16,17,72,17.44533176190091,9.60643718215712,28.18577307909277,10.80738739583075,22.58807389042969,advanced_synthetic,1.069,2025-09-26T05:40:23.369853
SYN-0034,Ginger_Fresh,high,2025-08-06,2025-08-06T00:00:00,98.0,1.436,1.13,1.678,1.96,1.977,36.4,66.3,8.11,933.5,4.67,26.7,115,194,93,134.0,8.18,1.38,1.071,28,19,82,34,12,23,1.9972305368591745,6.6751804084662165,4.195212007766296,3.5124945767697398,16.40935835202528,advanced_synthetic,0.978,2025-09-26T05:40:23.369915
SYN-0035,Honey_Wild,medium,2025-08-16,2025-08-16T00:00:00,94.3,0.37,0.204,0.308,0.458,0.53,31.2,82.6,6.44,956.1,4.39,25.3,181,173,123,159.0,1.87,1.43,1.046,71,14,16,13,9,16,1.1246443159817334,1.851509297706363,0.5346055698391082,0.6341046129064122,0.3754318427162062,advanced_synthetic,0.807,2025-09-26T05:40:23.370021
SYN-0036,Turmeric_Organic,medium,2025-04-03,2025-04-03T00:00:00,98.0,1.564,1.244,1.786,2.074,1.931,25.9,46.3,5.33,219.3,1.51,15.6,250,190,93,177.7,8.6,1.23,4.559,25,60,79,26,20,39,2.5238138184929775,13.779489628677846,6.128949748223176,3.878109015978903,8.049982672527992,advanced_synthetic,0.912,2025-09-26T05:40:23.370090
