synthetic_id,base_herb,generation_method,timestamp,environmental_conditions,SS_voltage,Cu_voltage,Zn_voltage,Ag_voltage,Pt_voltage,ph_value,tds_ppm,uv_intensity,moisture_percent,color_rgb,taste_sweet,taste_bitter,taste_pungent,taste_sour,taste_salty,taste_astringent,phyto_alkaloids,phyto_flavonoids,phyto_saponins,phyto_tannins,phyto_glycosides,synthetic_quality_score,augmentation_params
SYN-0001,Synthetic_Neem_Purified,gaussian_noise_augmentation,2025-01-31T05:12:22.572199,"{'temperature': 30.2, 'humidity': 62.7, 'season': 'spring', 'processing_method': 'modern'}",2.299232550644671,2.0132420237899753,2.7410486069258133,3.225978806054001,3.046503419405906,6.74,1077.1,2.24,21.8,"[105, 93, 248]",18,88,34,18,17,88,9.982469304801343,14.285680724952895,13.334304340262115,17.622533713058264,9.291524810001532,98.0,"{'noise_factor': 0.04645778856344468, 'extraction_efficiency': 0.8137437015795839, 'temperature_drift': -0.010288185837961861}"
SYN-0002,Synthetic_Tulsi_Variant_A,gaussian_noise_augmentation,2024-10-31T05:12:22.572295,"{'temperature': 38.7, 'humidity': 61.9, 'season': 'summer', 'processing_method': 'commercial'}",1.2209759316891462,0.8163078505919146,1.5177484871571456,2.062123945486483,1.822406863268112,5.3,553.3,3.29,19.7,"[252, 100, 163]",43,36,74,20,15,44,9.261868425099566,13.09150320372241,11.53170935872342,7.036752765835854,5.052553217776573,76.7,"{'noise_factor': 0.07037736120621253, 'extraction_efficiency': 1.1294173299523238, 'temperature_drift': 0.01603454716501452}"
SYN-0003,Synthetic_Tulsi_Variant_A,gaussian_noise_augmentation,2024-12-03T05:12:22.572385,"{'temperature': 23.5, 'humidity': 60.9, 'season': 'spring', 'processing_method': 'organic'}",1.329221571476095,0.9078969608788291,1.574175161494295,2.175860392588009,1.9316552405458915,6.24,653.6,1.0,10.8,"[152, 154, 99]",41,35,58,19,16,47,13.691576232239028,10.971464866347247,16.682147163065952,7.328082667734519,5.027103671722373,98.0,"{'noise_factor': 0.0237826090911568, 'extraction_efficiency': 1.198556631856377, 'temperature_drift': 0.03159446960488633}"
SYN-0004,Synthetic_Tulsi_Variant_A,gaussian_noise_augmentation,2025-03-26T05:12:22.572449,"{'temperature': 30.2, 'humidity': 37.1, 'season': 'summer', 'processing_method': 'modern'}",1.2108586220601052,0.8886397734962184,1.5408394810134913,2.2347972979548185,1.8678708530486308,5.13,1002.1,1.07,20.5,"[207, 94, 195]",38,37,73,16,14,48,10.864535195128877,9.706257807018261,13.398360430623967,4.972358963640685,5.11235877094171,98.0,"{'noise_factor': 0.07135364994984576, 'extraction_efficiency': 1.032281839235317, 'temperature_drift': 0.025447047199086373}"
SYN-0005,Synthetic_Ginger_Variant_C,gaussian_noise_augmentation,2025-06-20T05:12:22.572508,"{'temperature': 29.4, 'humidity': 44.8, 'season': 'summer', 'processing_method': 'traditional'}",1.635012038823928,1.2635879446004288,1.7659505756718856,2.018212410804851,2.0037442677625714,6.57,845.6,3.8,22.9,"[182, 52, 171]",35,24,78,29,13,25,1.738567998912811,5.137904076498119,3.2528606322360254,2.995813773499901,11.036000128388746,98.0,"{'noise_factor': 0.06940532006072721, 'extraction_efficiency': 0.7045853769432093, 'temperature_drift': 0.015402488516495637}"
SYN-0006,Synthetic_Tulsi_Variant_A,gaussian_noise_augmentation,2025-05-08T05:12:22.572568,"{'temperature': 23.7, 'humidity': 64.7, 'season': 'winter', 'processing_method': 'organic'}",1.364363991073409,0.8175387302446067,1.5462227604252525,2.2195837570790893,1.9177632532484854,6.62,933.2,1.7,22.8,"[125, 222, 114]",38,38,73,20,14,47,9.25972134936896,9.90197972999107,9.851910630491863,5.199413092959649,4.136562263462586,98.0,"{'noise_factor': 0.03735043077487961, 'extraction_efficiency': 0.8357947938598382, 'temperature_drift': -0.004867029152794655}"
SYN-0007,Synthetic_Neem_Purified,gaussian_noise_augmentation,2025-07-11T05:12:22.572623,"{'temperature': 26.7, 'humidity': 68.9, 'season': 'spring', 'processing_method': 'modern'}",2.4089330110250646,2.0212966619328885,2.7364153484599676,3.285364288556722,2.8565872098787195,6.78,134.6,2.76,22.6,"[68, 146, 98]",23,77,36,27,16,81,12.122504237193581,20.284195621721747,21.38891530118502,28.324071062685324,12.39609248007566,98.0,"{'noise_factor': 0.04430215903482478, 'extraction_efficiency': 1.2198895903816185, 'temperature_drift': -0.04085257173889787}"
SYN-0008,Synthetic_Neem_Purified,gaussian_noise_augmentation,2024-10-15T05:12:22.572678,"{'temperature': 23.1, 'humidity': 65.8, 'season': 'spring', 'processing_method': 'commercial'}",2.4089943308052164,2.097626095840027,2.7736150102310027,3.216604226226194,3.0263117932770576,5.15,819.7,1.86,20.4,"[78, 130, 114]",20,79,41,20,20,67,7.971614115594955,11.491185205387143,12.655506212446035,17.76049546179769,8.198456459034446,98.0,"{'noise_factor': 0.03478887664343338, 'extraction_efficiency': 0.8125153713012474, 'temperature_drift': -0.008155225460103952}"
SYN-0009,Synthetic_Neem_Purified,gaussian_noise_augmentation,2025-07-14T05:12:22.572734,"{'temperature': 28.3, 'humidity': 63.1, 'season': 'spring', 'processing_method': 'commercial'}",2.524318148102523,2.1428453048091756,2.7886030751821753,3.3,3.013563315265246,7.34,484.1,2.64,21.1,"[143, 227, 103]",21,80,33,18,16,80,12.50148834603023,17.56804003295071,19.95765790779516,28.74574389551663,16.46992523704815,98.0,"{'noise_factor': 0.06372987077007593, 'extraction_efficiency': 1.1663863976660886, 'temperature_drift': 0.02337315613921334}"
SYN-0010,Synthetic_Turmeric_High_Curcumin,gaussian_noise_augmentation,2025-05-07T05:12:22.572790,"{'temperature': 17.7, 'humidity': 60.8, 'season': 'winter', 'processing_method': 'modern'}",1.6054650998194384,1.437881558371209,1.9479134516550474,2.2317039770194436,2.1052853219330854,6.3,182.2,1.9,23.9,"[107, 68, 99]",23,51,93,14,13,35,4.306019800144171,14.575341702365034,6.407191201121117,3.868723717361518,10.939038095945099,98.0,"{'noise_factor': 0.04540677181107425, 'extraction_efficiency': 0.9748151961157248, 'temperature_drift': 0.0008291180483374157}"
SYN-0011,Synthetic_Ginger_Variant_C,gaussian_noise_augmentation,2025-01-02T05:12:22.572845,"{'temperature': 31.2, 'humidity': 94.8, 'season': 'monsoon', 'processing_method': 'commercial'}",1.4618163304871514,1.1789904519497554,1.8600317909023636,2.155528199871028,1.9297024285736748,7.23,315.2,1.76,22.0,"[80, 67, 220]",32,24,89,34,17,28,3.0437045202364943,7.851637147800279,5.505908757788966,5.03355036444459,15.688496253710705,73.4,"{'noise_factor': 0.037953044490123836, 'extraction_efficiency': 1.2067447124479274, 'temperature_drift': -0.012193031303112226}"
SYN-0012,Synthetic_Ginger_Variant_C,gaussian_noise_augmentation,2025-01-04T05:12:22.572904,"{'temperature': 29.3, 'humidity': 51.7, 'season': 'summer', 'processing_method': 'modern'}",1.5249888212234766,1.2516576499686043,1.785254282077652,2.028936037031375,2.0919194848277796,7.24,236.6,3.85,11.1,"[225, 150, 194]",40,21,89,27,16,25,2.7437143137170503,8.858089066170503,4.58962452653898,4.559962075941638,16.0526030890262,98.0,"{'noise_factor': 0.06819534404352466, 'extraction_efficiency': 1.225276162850598, 'temperature_drift': 0.016473248515574485}"
SYN-0013,Synthetic_Neem_Purified,gaussian_noise_augmentation,2025-02-06T05:12:22.572959,"{'temperature': 42.0, 'humidity': 41.6, 'season': 'summer', 'processing_method': 'commercial'}",2.2288508331484396,2.18099363858819,2.86538656524949,3.1698070892482373,2.939321540459595,5.13,323.2,3.19,11.8,"[82, 152, 133]",18,70,31,22,20,78,8.822297900349096,13.861823383575105,18.061363347792973,19.230236549345996,11.427339948114485,80.0,"{'noise_factor': 0.04520008616357875, 'extraction_efficiency': 1.0178399182956461, 'temperature_drift': -0.006167796026178394}"
SYN-0014,Synthetic_Ashwagandha_Variant_B,gaussian_noise_augmentation,2025-06-25T05:12:22.573059,"{'temperature': 23.5, 'humidity': 58.2, 'season': 'spring', 'processing_method': 'organic'}",2.2607721466748374,1.9764669220219466,2.344935651400624,2.795304605933271,2.8279762429315913,7.49,241.1,3.49,13.9,"[160, 188, 150]",32,73,50,18,17,70,9.539112337750158,6.234919025704979,22.250258198260685,8.259365420855938,18.602028912306555,98.0,"{'noise_factor': 0.06997556250122643, 'extraction_efficiency': 0.8017675456404881, 'temperature_drift': 0.06106688299514085}"
SYN-0015,Synthetic_Turmeric_High_Curcumin,gaussian_noise_augmentation,2025-07-10T05:12:22.573123,"{'temperature': 40.8, 'humidity': 35.8, 'season': 'summer', 'processing_method': 'traditional'}",1.6858583979167818,1.4490138269911188,1.9099214218760372,2.298572894897679,2.173689801236322,5.88,927.4,3.74,19.4,"[183, 78, 107]",25,60,71,17,10,31,3.988774018299839,12.535318629841095,6.123221660350499,4.356908995288869,9.242656226667133,81.0,"{'noise_factor': 0.0319700840888626, 'extraction_efficiency': 0.9655049092953699, 'temperature_drift': 0.045178397078924314}"
SYN-0016,Synthetic_Ginger_Variant_C,gaussian_noise_augmentation,2025-04-21T05:12:22.573210,"{'temperature': 22.4, 'humidity': 49.4, 'season': 'spring', 'processing_method': 'organic'}",1.4999099543185204,1.2040874105451838,1.805759680853588,2.108872004667769,2.0583786595186018,7.2,815.5,1.06,19.4,"[179, 107, 149]",31,26,83,30,12,22,2.200349883799242,9.660602354013113,4.562173673307138,3.5961544815504647,17.662761945796944,98.0,"{'noise_factor': 0.03210717754631321, 'extraction_efficiency': 1.161692016657129, 'temperature_drift': 0.030401426141262313}"
SYN-0017,Synthetic_Neem_Purified,gaussian_noise_augmentation,2025-01-31T05:12:22.573313,"{'temperature': 36.3, 'humidity': 58.0, 'season': 'summer', 'processing_method': 'modern'}",2.361974247363473,2.1756874951393264,2.894660363037117,3.122572714748676,3.027485150719056,5.38,822.8,1.89,24.1,"[133, 140, 182]",16,94,38,22,18,87,9.674101808690079,16.20065063094847,17.30589913547747,21.86278542645486,11.227272893764408,81.9,"{'noise_factor': 0.07726748624954081, 'extraction_efficiency': 1.01927122230191, 'temperature_drift': -0.03273808104053902}"
SYN-0018,Synthetic_Turmeric_High_Curcumin,gaussian_noise_augmentation,2025-04-08T05:12:22.573374,"{'temperature': 31.5, 'humidity': 45.5, 'season': 'spring', 'processing_method': 'traditional'}",1.7725429858835844,1.320919336475815,1.968019366983319,2.3161837201458377,2.084053068326177,6.82,1177.5,0.86,21.8,"[171, 195, 85]",27,59,85,15,10,36,4.6728168604569635,13.859496435083244,5.992355434189122,5.544801080303515,11.29398942316023,98.0,"{'noise_factor': 0.031207182553059994, 'extraction_efficiency': 1.0928429119571867, 'temperature_drift': -0.03433499696020446}"
SYN-0019,Synthetic_Ginger_Variant_C,gaussian_noise_augmentation,2024-12-18T05:12:22.573430,"{'temperature': 34.6, 'humidity': 93.1, 'season': 'monsoon', 'processing_method': 'commercial'}",1.686556495861818,1.1989317552787557,1.855374030740182,2.231501711510037,1.9052301400864737,5.09,121.0,1.45,16.5,"[164, 183, 108]",38,19,78,25,16,25,3.2282673554952512,10.560798415914267,6.763603392804987,4.676006225228337,17.54186912806762,72.5,"{'noise_factor': 0.06641640672387529, 'extraction_efficiency': 1.2663867277070096, 'temperature_drift': -0.02829822436318504}"
